field,value,fiscal_year,currency
total_revenue,15547241.45,2024,USD
gross_profit,4293447.61,2024,USD
operating_expenses,3124222.18,2024,USD
operating_income,1169225.43,2024,USD
ebitda,1522719.07,2024,USD
depreciation_amortization,353493.64,2024,USD
interest_expense,349496.94,2024,USD
income_before_tax,819728.49,2024,USD
tax_expense,214868.24,2024,USD
net_income,604860.25,2024,USD
total_assets,29510490.87,2024,USD
current_assets,9813089.99,2024,USD
cash_and_equivalents,1589683.25,2024,USD
accounts_receivable,4330761.2,2024,USD
inventory,3039539.93,2024,USD
total_liabilities,14228829.23,2024,USD
current_liabilities,4257269.1,2024,USD
long_term_debt,5195044.54,2024,USD
total_equity,15281661.64,2024,USD
operating_cash_flow,1539210.3,2024,USD
investing_cash_flow,-1490655.37,2024,USD
financing_cash_flow,-479469.81,2024,USD
free_cash_flow,48554.92,2024,USD
debt_to_equity,0.93,2024,USD
current_ratio,2.31,2024,USD
debt_to_ebitda,9.34,2024,USD
interest_coverage_ratio,3.35,2024,USD
gross_margin,0.28,2024,USD
ebitda_margin,0.1,2024,USD
net_margin,0.04,2024,USD
balance_sheet_check,True,2024,USD
