field,value,fiscal_year,currency
total_revenue,8750162.07,2024,USD
gross_profit,2186679.05,2024,USD
operating_expenses,1341196.92,2024,USD
operating_income,845482.13,2024,USD
ebitda,1168333.44,2024,USD
depreciation_amortization,322851.31,2024,USD
interest_expense,370449.17,2024,USD
income_before_tax,475032.96,2024,USD
tax_expense,131905.62,2024,USD
net_income,343127.34,2024,USD
total_assets,12821414.39,2024,USD
current_assets,6398626.43,2024,USD
cash_and_equivalents,1095373.89,2024,USD
accounts_receivable,1725845.91,2024,USD
inventory,2185797.38,2024,USD
total_liabilities,5634990.52,2024,USD
current_liabilities,2643755.12,2024,USD
long_term_debt,4882699.65,2024,USD
total_equity,7186423.87,2024,USD
operating_cash_flow,830188.04,2024,USD
investing_cash_flow,-397889.31,2024,USD
financing_cash_flow,-426806.33,2024,USD
free_cash_flow,432298.73,2024,USD
debt_to_equity,0.78,2024,USD
current_ratio,2.42,2024,USD
debt_to_ebitda,4.82,2024,USD
interest_coverage_ratio,2.28,2024,USD
gross_margin,0.25,2024,USD
ebitda_margin,0.13,2024,USD
net_margin,0.04,2024,USD
balance_sheet_check,True,2024,USD
