field,value,fiscal_year,currency
total_revenue,7833311.16,2024,USD
gross_profit,1356251.51,2024,USD
operating_expenses,999676.86,2024,USD
operating_income,356574.65,2024,USD
ebitda,529794.72,2024,USD
depreciation_amortization,173220.07,2024,USD
interest_expense,425661.91,2024,USD
income_before_tax,-69087.26,2024,USD
tax_expense,0,2024,USD
net_income,-69087.26,2024,USD
total_assets,16829054.8,2024,USD
current_assets,6946721.07,2024,USD
cash_and_equivalents,1603925.68,2024,USD
accounts_receivable,2176274.68,2024,USD
inventory,2199943.22,2024,USD
total_liabilities,8436367.54,2024,USD
current_liabilities,4701804.08,2024,USD
long_term_debt,4924393.26,2024,USD
total_equity,8392687.26,2024,USD
operating_cash_flow,276689.44,2024,USD
investing_cash_flow,-269674.52,2024,USD
financing_cash_flow,-613555.29,2024,USD
free_cash_flow,7014.92,2024,USD
debt_to_equity,1.01,2024,USD
current_ratio,1.48,2024,USD
debt_to_ebitda,15.92,2024,USD
interest_coverage_ratio,0.84,2024,USD
gross_margin,0.17,2024,USD
ebitda_margin,0.07,2024,USD
net_margin,-0.01,2024,USD
balance_sheet_check,True,2024,USD
