field,value,fiscal_year,currency
total_revenue,22827789.95,2024,USD
gross_profit,11621054.47,2024,USD
operating_expenses,8809220.66,2024,USD
operating_income,2811833.8,2024,USD
ebitda,3628489.79,2024,USD
depreciation_amortization,816655.99,2024,USD
interest_expense,798274.92,2024,USD
income_before_tax,2013558.88,2024,USD
tax_expense,474484.64,2024,USD
net_income,1539074.24,2024,USD
total_assets,52224041.59,2024,USD
current_assets,16592543.65,2024,USD
cash_and_equivalents,5575794.99,2024,USD
accounts_receivable,4840835.1,2024,USD
inventory,4605395.73,2024,USD
total_liabilities,19113548.04,2024,USD
current_liabilities,6297814.67,2024,USD
long_term_debt,13252116.65,2024,USD
total_equity,33110493.55,2024,USD
operating_cash_flow,3042892.24,2024,USD
investing_cash_flow,-781829.28,2024,USD
financing_cash_flow,-1402100.3,2024,USD
free_cash_flow,2261062.96,2024,USD
debt_to_equity,0.58,2024,USD
current_ratio,2.63,2024,USD
debt_to_ebitda,5.27,2024,USD
interest_coverage_ratio,3.52,2024,USD
gross_margin,0.51,2024,USD
ebitda_margin,0.16,2024,USD
net_margin,0.07,2024,USD
balance_sheet_check,True,2024,USD
