field,value,fiscal_year,currency
total_revenue,6376031.96,2024,USD
gross_profit,1495078.42,2024,USD
operating_expenses,1207266.05,2024,USD
operating_income,287812.37,2024,USD
ebitda,514335.41,2024,USD
depreciation_amortization,226523.04,2024,USD
interest_expense,131036.9,2024,USD
income_before_tax,156775.46,2024,USD
tax_expense,36633.09,2024,USD
net_income,120142.37,2024,USD
total_assets,14965437.04,2024,USD
current_assets,5350573.0,2024,USD
cash_and_equivalents,1038243.79,2024,USD
accounts_receivable,1413613.99,2024,USD
inventory,2364051.49,2024,USD
total_liabilities,10463719.89,2024,USD
current_liabilities,3255769.58,2024,USD
long_term_debt,2221420.24,2024,USD
total_equity,4501717.16,2024,USD
operating_cash_flow,575970.09,2024,USD
investing_cash_flow,-222906.17,2024,USD
financing_cash_flow,-163941.84,2024,USD
free_cash_flow,353063.92,2024,USD
debt_to_equity,2.32,2024,USD
current_ratio,1.64,2024,USD
debt_to_ebitda,20.34,2024,USD
interest_coverage_ratio,2.2,2024,USD
gross_margin,0.23,2024,USD
ebitda_margin,0.08,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
