field,value,fiscal_year,currency
total_revenue,1584817.76,2024,USD
gross_profit,511169.44,2024,USD
operating_expenses,401426.66,2024,USD
operating_income,109742.78,2024,USD
ebitda,180889.92,2024,USD
depreciation_amortization,71147.14,2024,USD
interest_expense,67471.22,2024,USD
income_before_tax,42271.56,2024,USD
tax_expense,11727.41,2024,USD
net_income,30544.16,2024,USD
total_assets,2946905.56,2024,USD
current_assets,1330795.59,2024,USD
cash_and_equivalents,251393.99,2024,USD
accounts_receivable,580150.71,2024,USD
inventory,393136.79,2024,USD
total_liabilities,1271374.4,2024,USD
current_liabilities,786679.71,2024,USD
long_term_debt,1055494.32,2024,USD
total_equity,1675531.15,2024,USD
operating_cash_flow,39323.16,2024,USD
investing_cash_flow,-55574.83,2024,USD
financing_cash_flow,-83832.83,2024,USD
free_cash_flow,-16251.67,2024,USD
debt_to_equity,0.76,2024,USD
current_ratio,1.69,2024,USD
debt_to_ebitda,7.03,2024,USD
interest_coverage_ratio,1.63,2024,USD
gross_margin,0.32,2024,USD
ebitda_margin,0.11,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
