field,value,fiscal_year,currency
total_revenue,5142551.19,2024,USD
gross_profit,1120946.23,2024,USD
operating_expenses,865321.96,2024,USD
operating_income,255624.27,2024,USD
ebitda,491586.09,2024,USD
depreciation_amortization,235961.82,2024,USD
interest_expense,168247.37,2024,USD
income_before_tax,87376.9,2024,USD
tax_expense,24254.68,2024,USD
net_income,63122.23,2024,USD
total_assets,9931249.86,2024,USD
current_assets,3435929.9,2024,USD
cash_and_equivalents,531264.23,2024,USD
accounts_receivable,1359097.48,2024,USD
inventory,1284384.59,2024,USD
total_liabilities,5364259.2,2024,USD
current_liabilities,1267563.98,2024,USD
long_term_debt,2289802.87,2024,USD
total_equity,4566990.66,2024,USD
operating_cash_flow,83130.19,2024,USD
investing_cash_flow,-214360.73,2024,USD
financing_cash_flow,-138077.25,2024,USD
free_cash_flow,-131230.54,2024,USD
debt_to_equity,1.17,2024,USD
current_ratio,2.71,2024,USD
debt_to_ebitda,10.91,2024,USD
interest_coverage_ratio,1.52,2024,USD
gross_margin,0.22,2024,USD
ebitda_margin,0.1,2024,USD
net_margin,0.01,2024,USD
balance_sheet_check,True,2024,USD
