field,value,fiscal_year,currency
total_revenue,5613359.27,2024,USD
gross_profit,1829609.92,2024,USD
operating_expenses,1520547.42,2024,USD
operating_income,309062.5,2024,USD
ebitda,437546.44,2024,USD
depreciation_amortization,128483.94,2024,USD
interest_expense,205308.6,2024,USD
income_before_tax,103753.9,2024,USD
tax_expense,22071.83,2024,USD
net_income,81682.07,2024,USD
total_assets,10256138.34,2024,USD
current_assets,4367395.0,2024,USD
cash_and_equivalents,757757.36,2024,USD
accounts_receivable,1513076.08,2024,USD
inventory,1184902.0,2024,USD
total_liabilities,5198635.96,2024,USD
current_liabilities,1980487.61,2024,USD
long_term_debt,2752497.66,2024,USD
total_equity,5057502.38,2024,USD
operating_cash_flow,432998.94,2024,USD
investing_cash_flow,-472874.6,2024,USD
financing_cash_flow,-316325.77,2024,USD
free_cash_flow,-39875.66,2024,USD
debt_to_equity,1.03,2024,USD
current_ratio,2.21,2024,USD
debt_to_ebitda,11.88,2024,USD
interest_coverage_ratio,1.51,2024,USD
gross_margin,0.33,2024,USD
ebitda_margin,0.08,2024,USD
net_margin,0.01,2024,USD
balance_sheet_check,True,2024,USD
